Evacuation Name,EVACUEES
宮城県仙台市若林区沖野三丁目,2193
宮城県仙台市若林区沖野四丁目,277
宮城県仙台市若林区沖野五丁目,479
宮城県仙台市若林区沖野六丁目,2717
宮城県仙台市若林区沖野七丁目,2167
宮城県仙台市若林区表柴田町,638
宮城県仙台市若林区卸町東一丁目,0
宮城県仙台市若林区卸町東二丁目,0
宮城県仙台市若林区卸町東三丁目,0
宮城県仙台市若林区卸町東四丁目,0
宮城県仙台市若林区卸町東五丁目,2
宮城県仙台市若林区卸町一丁目,10
宮城県仙台市若林区卸町二丁目,276
宮城県仙台市若林区卸町三丁目,171
宮城県仙台市若林区卸町四丁目,0
宮城県仙台市若林区卸町五丁目,1
宮城県仙台市若林区霞目谷風,2
宮城県仙台市若林区霞目一丁目,314
宮城県仙台市若林区霞目二丁目,1972
宮城県仙台市若林区蒲町,1829
宮城県仙台市若林区上飯田,149
宮城県仙台市若林区河原町一丁目,1974
宮城県仙台市若林区河原町二丁目,1558
宮城県仙台市若林区木ノ下一丁目,1181
宮城県仙台市若林区木ノ下二丁目,743
宮城県仙台市若林区木ノ下三丁目,234
宮城県仙台市若林区木ノ下四丁目,772
宮城県仙台市若林区木ノ下五丁目,508
宮城県仙台市若林区穀町,288
宮城県仙台市若林区椌木通,418
宮城県仙台市若林区五十人町,951
宮城県仙台市若林区三百人町,1052
宮城県仙台市若林区三本塚,254
宮城県仙台市若林区清水小路,630
宮城県仙台市若林区下飯田,183
宮城県仙台市若林区白萩町,1069
宮城県仙台市若林区志波町,932
宮城県仙台市若林区新寺一丁目,2187
宮城県仙台市若林区新寺二丁目,559
宮城県仙台市若林区新寺三丁目,1258
宮城県仙台市若林区新寺四丁目,1054
宮城県仙台市若林区新寺五丁目,404
宮城県仙台市若林区新弓ノ町,364
宮城県仙台市若林区畳屋丁,447
宮城県仙台市若林区種次,212
宮城県仙台市若林区長喜城,356
宮城県仙台市若林区土樋,1760
宮城県仙台市若林区鶴代町,1
宮城県仙台市若林区遠見塚東,444
宮城県仙台市若林区遠見塚一丁目,1697
宮城県仙台市若林区遠見塚二丁目,2337
宮城県仙台市若林区遠見塚三丁目,836
宮城県仙台市若林区堰場,168
宮城県仙台市若林区中倉一丁目,1349
宮城県仙台市若林区中倉二丁目,2551
宮城県仙台市若林区中倉三丁目,1557
宮城県仙台市若林区成田町,1198
宮城県仙台市若林区二軒茶屋,1205
宮城県仙台市若林区西新丁,180
宮城県仙台市若林区日辺,752
宮城県仙台市若林区八軒小路,174
宮城県仙台市若林区東新丁,182
宮城県仙台市若林区東七番丁,209
宮城県仙台市若林区東八番丁,478
宮城県仙台市若林区東九番丁,236
宮城県仙台市若林区藤塚,0
宮城県仙台市若林区二木,168
宮城県仙台市若林区舟丁,301
宮城県仙台市若林区古城一丁目,1749
宮城県仙台市若林区古城二丁目,945
宮城県仙台市若林区古城三丁目,1345
宮城県仙台市若林区文化町,1948
宮城県仙台市若林区保春院前丁,840
宮城県仙台市若林区南石切町,335
宮城県仙台市若林区南鍛冶町,890
宮城県仙台市若林区南小泉,597
宮城県仙台市若林区南小泉一丁目,647
宮城県仙台市若林区南小泉二丁目,896
宮城県仙台市若林区南小泉三丁目,1596
宮城県仙台市若林区南小泉四丁目,1118
宮城県仙台市若林区南材木町,656
宮城県仙台市若林区南染師町,961
宮城県仙台市若林区元茶畑,327
宮城県仙台市若林区大和町一丁目,1489
宮城県仙台市若林区大和町二丁目,1466
宮城県仙台市若林区大和町三丁目,869
宮城県仙台市若林区大和町四丁目,2185
宮城県仙台市若林区大和町五丁目,4728
宮城県仙台市若林区弓ノ町,370
宮城県仙台市若林区連坊小路,1515
宮城県仙台市若林区連坊一丁目,1223
宮城県仙台市若林区連坊二丁目,1014
宮城県仙台市若林区六十人町,558
宮城県仙台市若林区六丁の目,32
宮城県仙台市若林区六丁の目北町,760
宮城県仙台市若林区六丁の目中町,2271
宮城県仙台市若林区六丁の目西町,591
宮城県仙台市若林区六丁の目東町,84
宮城県仙台市若林区六丁の目南町,1352
宮城県仙台市若林区若林一丁目,2038
宮城県仙台市若林区若林二丁目,1070
宮城県仙台市若林区若林三丁目,2106
宮城県仙台市若林区若林四丁目,881
宮城県仙台市若林区若林五丁目,1568
宮城県仙台市若林区若林六丁目,636
宮城県仙台市若林区若林七丁目,730
宮城県仙台市若林区かすみ町,1718
宮城県仙台市若林区六丁の目元町,258
宮城県仙台市若林区今泉一丁目,1733
宮城県仙台市若林区今泉二丁目,1600
宮城県仙台市若林区上飯田一丁目,1805
宮城県仙台市若林区上飯田二丁目,2754
宮城県仙台市若林区上飯田三丁目,2508
宮城県仙台市若林区上飯田四丁目,1338
宮城県仙台市若林区六郷,857
宮城県仙台市若林区荒井一丁目,1333
宮城県仙台市若林区荒井二丁目,1141
宮城県仙台市若林区荒井三丁目,1341
宮城県仙台市若林区荒井四丁目,1743
宮城県仙台市若林区荒井五丁目,788
宮城県仙台市若林区荒井六丁目,510
宮城県仙台市若林区荒井七丁目,2238
宮城県仙台市若林区荒井八丁目,378
宮城県仙台市若林区蒲町東,1489
宮城県仙台市若林区荒井東一丁目,322
宮城県仙台市若林区荒井東二丁目,1063
宮城県仙台市若林区伊在一丁目,681
宮城県仙台市若林区伊在二丁目,927
宮城県仙台市若林区伊在三丁目,551
宮城県仙台市若林区なないろの里一丁目,1219
宮城県仙台市若林区なないろの里二丁目,1419
宮城県仙台市若林区なないろの里三丁目,523
宮城県仙台市若林区荒井南,1527
宮城県仙台市太白区青山一丁目,1034
宮城県仙台市太白区青山二丁目,1542
宮城県仙台市太白区秋保町境野,274
宮城県仙台市太白区秋保町長袋,1003
宮城県仙台市太白区秋保町馬場,543
宮城県仙台市太白区秋保町湯元,1636
宮城県仙台市太白区芦の口,685
宮城県仙台市太白区泉崎一丁目,2697
宮城県仙台市太白区泉崎二丁目,1643
宮城県仙台市太白区大塒町,1024
宮城県仙台市太白区大野田,51
宮城県仙台市太白区大谷地,979
宮城県仙台市太白区鈎取,617
宮城県仙台市太白区鈎取本町一丁目,886
宮城県仙台市太白区鈎取本町二丁目,945
宮城県仙台市太白区鈎取一丁目,596
宮城県仙台市太白区鈎取二丁目,1382
宮城県仙台市太白区鈎取三丁目,856
宮城県仙台市太白区鈎取四丁目,1278
宮城県仙台市太白区鹿野本町,1166
宮城県仙台市太白区鹿野一丁目,740
宮城県仙台市太白区鹿野二丁目,1322
宮城県仙台市太白区鹿野三丁目,2924
宮城県仙台市太白区上野山一丁目,1221
宮城県仙台市太白区上野山二丁目,784
宮城県仙台市太白区上野山三丁目,183
宮城県仙台市太白区恵和町,1432
宮城県仙台市太白区越路,1093
宮城県仙台市太白区郡山,2334
宮城県仙台市太白区郡山一丁目,1350
宮城県仙台市太白区郡山二丁目,1134
宮城県仙台市太白区郡山三丁目,1403
宮城県仙台市太白区郡山四丁目,990
宮城県仙台市太白区郡山五丁目,1306
宮城県仙台市太白区郡山六丁目,1781
宮城県仙台市太白区郡山七丁目,1141
宮城県仙台市太白区郡山八丁目,2004
宮城県仙台市太白区金剛沢一丁目,1488
宮城県仙台市太白区金剛沢二丁目,968
宮城県仙台市太白区金剛沢三丁目,830
宮城県仙台市太白区桜木町,1622
宮城県仙台市太白区佐保山,473
宮城県仙台市太白区四郎丸,8953
宮城県仙台市太白区砂押町,1070
宮城県仙台市太白区砂押南町,408
宮城県仙台市太白区諏訪町,1135
宮城県仙台市太白区太子堂,1715
宮城県仙台市太白区太白一丁目,688
宮城県仙台市太白区太白二丁目,1190
宮城県仙台市太白区太白三丁目,819
宮城県仙台市太白区坪沼,528
宮城県仙台市太白区富沢,2944
宮城県仙台市太白区富沢一丁目,761
宮城県仙台市太白区富沢二丁目,1380
宮城県仙台市太白区富沢三丁目,1907
宮城県仙台市太白区富沢四丁目,808
宮城県仙台市太白区富田,2026
宮城県仙台市太白区土手内一丁目,1024
宮城県仙台市太白区土手内二丁目,311
宮城県仙台市太白区土手内三丁目,656
宮城県仙台市太白区中田町,4981
宮城県仙台市太白区中田一丁目,1051
宮城県仙台市太白区中田二丁目,1357
宮城県仙台市太白区中田三丁目,798
宮城県仙台市太白区中田四丁目,577
宮城県仙台市太白区中田五丁目,928
宮城県仙台市太白区中田六丁目,967
宮城県仙台市太白区中田七丁目,1604
宮城県仙台市太白区長町,276
宮城県仙台市太白区長町南一丁目,1313
宮城県仙台市太白区長町南二丁目,1773
宮城県仙台市太白区長町南三丁目,2352
宮城県仙台市太白区長町南四丁目,2587
宮城県仙台市太白区長町一丁目,2340
宮城県仙台市太白区長町二丁目,2360
宮城県仙台市太白区長町三丁目,1478
宮城県仙台市太白区長町四丁目,1325
宮城県仙台市太白区長町五丁目,2860
宮城県仙台市太白区長町六丁目,2406
宮城県仙台市太白区長町七丁目,2104
宮城県仙台市太白区長町八丁目,2544
宮城県仙台市太白区長嶺,568
宮城県仙台市太白区西多賀一丁目,1252
宮城県仙台市太白区西多賀二丁目,1092
宮城県仙台市太白区西多賀三丁目,1127
宮城県仙台市太白区西多賀四丁目,1374
宮城県仙台市太白区西多賀五丁目,737
宮城県仙台市太白区西中田一丁目,1098
宮城県仙台市太白区西中田二丁目,990
宮城県仙台市太白区西中田三丁目,1700
宮城県仙台市太白区西中田四丁目,1075
宮城県仙台市太白区西中田五丁目,2322
宮城県仙台市太白区西中田六丁目,3123
宮城県仙台市太白区西中田七丁目,2507
宮城県仙台市太白区西の平一丁目,1612
宮城県仙台市太白区西の平二丁目,1398
宮城県仙台市太白区日本平,1968
宮城県仙台市太白区根岸町,517
宮城県仙台市太白区萩ケ丘,934
宮城県仙台市太白区羽黒台,1503
宮城県仙台市太白区旗立一丁目,0
宮城県仙台市太白区旗立二丁目,119
宮城県仙台市太白区旗立三丁目,321
宮城県仙台市太白区八本松一丁目,1922
宮城県仙台市太白区八本松二丁目,1646
宮城県仙台市太白区東大野田,1262
宮城県仙台市太白区人来田一丁目,834
宮城県仙台市太白区人来田二丁目,1035
宮城県仙台市太白区人来田三丁目,525
宮城県仙台市太白区ひより台,1838
宮城県仙台市太白区袋原,2943
宮城県仙台市太白区二ツ沢,155
宮城県仙台市太白区松が丘,1730
宮城県仙台市太白区三神峯一丁目,249
宮城県仙台市太白区三神峯二丁目,960
宮城県仙台市太白区御堂平,153
宮城県仙台市太白区緑ケ丘一丁目,831
宮城県仙台市太白区緑ケ丘二丁目,782
宮城県仙台市太白区緑ケ丘三丁目,900
宮城県仙台市太白区緑ケ丘四丁目,893
宮城県仙台市太白区南大野田,2986
宮城県仙台市太白区向山一丁目,965
宮城県仙台市太白区向山二丁目,1147
宮城県仙台市太白区向山三丁目,917
宮城県仙台市太白区向山四丁目,1234
宮城県仙台市太白区茂ケ崎一丁目,22
宮城県仙台市太白区茂ケ崎二丁目,1
宮城県仙台市太白区茂ケ崎三丁目,454
宮城県仙台市太白区茂ケ崎四丁目,0
宮城県仙台市太白区茂庭,2699
宮城県仙台市太白区茂庭台一丁目,599
宮城県仙台市太白区茂庭台二丁目,761
宮城県仙台市太白区茂庭台三丁目,887
宮城県仙台市太白区茂庭台四丁目,3075
宮城県仙台市太白区茂庭台五丁目,643
宮城県仙台市太白区門前町,927
宮城県仙台市太白区八木山香澄町,1435
宮城県仙台市太白区八木山東一丁目,772
宮城県仙台市太白区八木山東二丁目,957
宮城県仙台市太白区八木山本町一丁目,1648
宮城県仙台市太白区八木山本町二丁目,2014
宮城県仙台市太白区八木山松波町,485
宮城県仙台市太白区八木山緑町,682
宮城県仙台市太白区八木山南一丁目,827
宮城県仙台市太白区八木山南二丁目,119
宮城県仙台市太白区八木山南三丁目,835
宮城県仙台市太白区八木山南四丁目,304
宮城県仙台市太白区八木山南五丁目,161
宮城県仙台市太白区八木山南六丁目,333
宮城県仙台市太白区八木山弥生町,1373
宮城県仙台市太白区柳生,1003
宮城県仙台市太白区柳生一丁目,290
宮城県仙台市太白区柳生二丁目,1763
宮城県仙台市太白区柳生三丁目,511
宮城県仙台市太白区柳生四丁目,1296
宮城県仙台市太白区柳生五丁目,594
宮城県仙台市太白区柳生六丁目,810
宮城県仙台市太白区柳生七丁目,965
宮城県仙台市太白区山田新町,36
宮城県仙台市太白区山田,223
宮城県仙台市太白区山田上ノ台町,975
宮城県仙台市太白区山田北前町,1372
宮城県仙台市太白区山田自由ケ丘,695
宮城県仙台市太白区山田本町,1129
宮城県仙台市太白区若葉町,728
宮城県仙台市太白区東郡山一丁目,558
宮城県仙台市太白区東郡山二丁目,1862
宮城県仙台市太白区富沢南一丁目,1731
宮城県仙台市太白区富沢南二丁目,1749
宮城県仙台市太白区東中田一丁目,1155
宮城県仙台市太白区東中田二丁目,2327
宮城県仙台市太白区東中田三丁目,1095
宮城県仙台市太白区東中田四丁目,1098
宮城県仙台市太白区東中田五丁目,690
宮城県仙台市太白区東中田六丁目,912
宮城県仙台市太白区袋原一丁目,1156
宮城県仙台市太白区袋原二丁目,757
宮城県仙台市太白区袋原三丁目,894
宮城県仙台市太白区袋原四丁目,1323
宮城県仙台市太白区袋原五丁目,780
宮城県仙台市太白区袋原六丁目,1010
宮城県仙台市太白区秋保町湯向,582
宮城県仙台市太白区あすと長町一丁目,1254
宮城県仙台市太白区あすと長町二丁目,0
宮城県仙台市太白区あすと長町三丁目,972
宮城県仙台市太白区あすと長町四丁目,3229
宮城県仙台市太白区大野田一丁目,758
宮城県仙台市太白区大野田二丁目,1102
宮城県仙台市太白区大野田三丁目,1149
宮城県仙台市太白区大野田四丁目,1633
宮城県仙台市太白区大野田五丁目,1671
宮城県仙台市泉区明通一丁目,0
宮城県仙台市泉区明通二丁目,0
宮城県仙台市泉区明通三丁目,0
宮城県仙台市泉区明通四丁目,38
宮城県仙台市泉区旭丘堤一丁目,1163
宮城県仙台市泉区旭丘堤二丁目,1009
宮城県仙台市泉区泉ケ丘一丁目,561
宮城県仙台市泉区泉ケ丘二丁目,835
宮城県仙台市泉区泉ケ丘三丁目,860
宮城県仙台市泉区泉ケ丘四丁目,1478
宮城県仙台市泉区泉ケ丘五丁目,1355
宮城県仙台市泉区市名坂,6819
宮城県仙台市泉区永和台,996
宮城県仙台市泉区小角,278
宮城県仙台市泉区泉中央南,482
宮城県仙台市泉区上谷刈,1946
宮城県仙台市泉区加茂一丁目,1220
宮城県仙台市泉区加茂二丁目,1324
宮城県仙台市泉区加茂三丁目,1006
宮城県仙台市泉区加茂四丁目,960
宮城県仙台市泉区加茂五丁目,807
宮城県仙台市泉区北高森,1179
宮城県仙台市泉区北中山一丁目,1095
宮城県仙台市泉区北中山二丁目,1414
宮城県仙台市泉区北中山三丁目,988
宮城県仙台市泉区北中山四丁目,1277
宮城県仙台市泉区黒松一丁目,1564
宮城県仙台市泉区黒松二丁目,1580
宮城県仙台市泉区黒松三丁目,1256
宮城県仙台市泉区向陽台一丁目,741
宮城県仙台市泉区向陽台二丁目,1120
宮城県仙台市泉区向陽台三丁目,1352
宮城県仙台市泉区向陽台四丁目,1214
宮城県仙台市泉区向陽台五丁目,1018
宮城県仙台市泉区実沢,1135
宮城県仙台市泉区将監一丁目,1231
宮城県仙台市泉区将監二丁目,938
宮城県仙台市泉区将監三丁目,726
宮城県仙台市泉区将監四丁目,1387
宮城県仙台市泉区将監五丁目,1443
宮城県仙台市泉区将監六丁目,830
宮城県仙台市泉区将監七丁目,964
宮城県仙台市泉区将監八丁目,652
宮城県仙台市泉区将監九丁目,1635
宮城県仙台市泉区将監十丁目,1187
宮城県仙台市泉区将監十一丁目,862
宮城県仙台市泉区将監十二丁目,557
宮城県仙台市泉区将監十三丁目,598
宮城県仙台市泉区松陵一丁目,631
宮城県仙台市泉区松陵二丁目,1381
宮城県仙台市泉区松陵三丁目,1358
宮城県仙台市泉区松陵四丁目,1418
宮城県仙台市泉区松陵五丁目,689
宮城県仙台市泉区住吉台西一丁目,785
宮城県仙台市泉区住吉台西二丁目,819
宮城県仙台市泉区住吉台西三丁目,960
宮城県仙台市泉区住吉台西四丁目,913
宮城県仙台市泉区住吉台東一丁目,615
宮城県仙台市泉区住吉台東二丁目,647
宮城県仙台市泉区住吉台東三丁目,809
宮城県仙台市泉区住吉台東四丁目,1063
宮城県仙台市泉区住吉台東五丁目,707
宮城県仙台市泉区高玉町,1106
宮城県仙台市泉区高森一丁目,1009
宮城県仙台市泉区高森二丁目,955
宮城県仙台市泉区高森三丁目,1042
宮城県仙台市泉区高森四丁目,1391
宮城県仙台市泉区高森五丁目,754
宮城県仙台市泉区高森六丁目,1124
宮城県仙台市泉区高森七丁目,1560
宮城県仙台市泉区高森八丁目,571
宮城県仙台市泉区長命ケ丘一丁目,1210
宮城県仙台市泉区長命ケ丘二丁目,870
宮城県仙台市泉区長命ケ丘三丁目,1662
宮城県仙台市泉区長命ケ丘四丁目,1626
宮城県仙台市泉区長命ケ丘五丁目,898
宮城県仙台市泉区長命ケ丘六丁目,857
宮城県仙台市泉区長命ケ丘東,338
宮城県仙台市泉区鶴が丘一丁目,2833
宮城県仙台市泉区鶴が丘二丁目,1383
宮城県仙台市泉区鶴が丘三丁目,2210
宮城県仙台市泉区鶴が丘四丁目,1440
宮城県仙台市泉区寺岡一丁目,1514
宮城県仙台市泉区寺岡二丁目,778
宮城県仙台市泉区寺岡三丁目,829
宮城県仙台市泉区寺岡四丁目,1133
宮城県仙台市泉区寺岡五丁目,777
宮城県仙台市泉区寺岡六丁目,500
宮城県仙台市泉区七北田,5779
宮城県仙台市泉区南光台一丁目,2280
宮城県仙台市泉区南光台二丁目,2636
宮城県仙台市泉区南光台三丁目,1614
宮城県仙台市泉区南光台四丁目,1940
宮城県仙台市泉区南光台五丁目,1874
宮城県仙台市泉区南光台六丁目,2113
宮城県仙台市泉区南光台七丁目,2368
宮城県仙台市泉区南光台東一丁目,1526
宮城県仙台市泉区南光台東二丁目,1375
宮城県仙台市泉区南光台東三丁目,564
宮城県仙台市泉区南光台南一丁目,1377
宮城県仙台市泉区南光台南二丁目,1251
宮城県仙台市泉区南光台南三丁目,1976
宮城県仙台市泉区西田中,617
宮城県仙台市泉区虹の丘一丁目,1037
宮城県仙台市泉区虹の丘二丁目,629
宮城県仙台市泉区虹の丘三丁目,575
宮城県仙台市泉区虹の丘四丁目,1014
宮城県仙台市泉区根白石,1622
宮城県仙台市泉区野村,839
宮城県仙台市泉区東黒松,889
宮城県仙台市泉区福岡,943
宮城県仙台市泉区古内,225
宮城県仙台市泉区朴沢,518
宮城県仙台市泉区歩坂町,2849
宮城県仙台市泉区松森,6039
宮城県仙台市泉区館一丁目,1392
宮城県仙台市泉区館二丁目,1221
宮城県仙台市泉区館三丁目,1640
宮城県仙台市泉区館四丁目,1227
宮城県仙台市泉区館五丁目,568
宮城県仙台市泉区館六丁目,615
宮城県仙台市泉区館七丁目,119
宮城県仙台市泉区山の寺一丁目,1339
宮城県仙台市泉区山の寺二丁目,1684
宮城県仙台市泉区山の寺三丁目,1050
宮城県仙台市泉区友愛町,712
宮城県仙台市泉区泉中央一丁目,3513
宮城県仙台市泉区泉中央二丁目,1947
宮城県仙台市泉区泉中央三丁目,2994
宮城県仙台市泉区泉中央四丁目,1943
宮城県仙台市泉区桂一丁目,1827
宮城県仙台市泉区桂二丁目,1521
宮城県仙台市泉区桂三丁目,1151
宮城県仙台市泉区桂四丁目,1089
宮城県仙台市泉区天神沢一丁目,1874
宮城県仙台市泉区天神沢二丁目,49
宮城県仙台市泉区本田町,779
宮城県仙台市泉区八乙女一丁目,801
宮城県仙台市泉区八乙女二丁目,607
宮城県仙台市泉区八乙女三丁目,1198
宮城県仙台市泉区八乙女四丁目,1279
宮城県仙台市泉区みずほ台,2560
宮城県仙台市泉区紫山一丁目,1130
宮城県仙台市泉区紫山二丁目,843
宮城県仙台市泉区紫山三丁目,865
宮城県仙台市泉区紫山四丁目,1148
宮城県仙台市泉区紫山五丁目,1166
宮城県仙台市泉区明石南一丁目,585
宮城県仙台市泉区明石南二丁目,753
宮城県仙台市泉区明石南三丁目,551
宮城県仙台市泉区明石南四丁目,708
宮城県仙台市泉区明石南五丁目,977
宮城県仙台市泉区明石南六丁目,388
宮城県仙台市泉区八乙女中央一丁目,688
宮城県仙台市泉区八乙女中央二丁目,140
宮城県仙台市泉区八乙女中央三丁目,1829
宮城県仙台市泉区八乙女中央四丁目,1230
宮城県仙台市泉区八乙女中央五丁目,1662
宮城県仙台市泉区上谷刈一丁目,919
宮城県仙台市泉区上谷刈二丁目,530
宮城県仙台市泉区上谷刈三丁目,1385
宮城県仙台市泉区上谷刈四丁目,320
宮城県仙台市泉区上谷刈五丁目,911
宮城県仙台市泉区上谷刈六丁目,668
宮城県仙台市泉区南中山一丁目,1682
宮城県仙台市泉区南中山二丁目,1124
宮城県仙台市泉区南中山三丁目,1562
宮城県仙台市泉区南中山四丁目,1229
宮城県仙台市泉区南中山五丁目,405
宮城県仙台市泉区南中山六丁目,858
宮城県仙台市泉区将監殿一丁目,307
宮城県仙台市泉区将監殿二丁目,0
宮城県仙台市泉区将監殿三丁目,606
宮城県仙台市泉区将監殿四丁目,704
宮城県仙台市泉区将監殿五丁目,1364
宮城県仙台市泉区大沢一丁目,29
宮城県仙台市泉区大沢二丁目,146
宮城県仙台市泉区大沢三丁目,369
宮城県仙台市泉区西中山一丁目,1636
宮城県仙台市泉区西中山二丁目,1319