Shelter Name,VACANCIES
桜丘小学校,6660
中山中学校,7043
中山小学校,7903
北仙台中学校,5361
台原小学校,8480
旭丘小学校,5964
荒巻小学校,5535
国見小学校,9472
三条中学校,4048
通町小学校,5876
小松島小学校,6645
八幡小学校,8688
木町通小学校,7666
上杉山中学校,9613
五城中学校,6636
片平丁小学校,7726
折立小学校,4558
川平小学校,6793
東六番丁小学校,5757
北六番丁小学校,4928
広瀬小学校,8347
広瀬中学校,15232
上愛子小学校,903
川前小学校,7015
大沢小学校,4322
大沢中学校,6396
吉成小学校,4307
吉成中学校,2477
南吉成小学校,7637
第一中学校,12145
第二中学校,5583
栗生小学校,8525
上杉山通小学校,14445
北仙台小学校,8229
桜丘中学校,5583
立町小学校,2620
五橋中学校,13162
台原中学校,9668
南吉成中学校,4640
折立中学校,3716
仙台高等学校,21261
仙台青陵中等教育学校,11010
東二番丁小学校,2605
広陵中学校,610
愛子小学校,9413
錦ケ丘小学校,14474
錦ケ丘中学校,11443
幸町小学校,4011
鶴谷中学校,5268
東仙台中学校,12219
榴岡小学校,13779
仙台工業高等学校,15025
燕沢小学校,6349
新田小学校,13261
岩切小学校,16014
岩切中学校,10574
高砂小学校,5728
福室小学校,8125
中野栄小学校,6497
岡田小学校,2486
枡江小学校,2250
鶴巻小学校,6083
田子小学校,8007
幸町南小学校,3833
宮城野小学校,7252
宮城野中学校,14733
仙台大志高等学校,6288
東華中学校,7653
東宮城野小学校,2842
原町小学校,7800
東仙台小学校,5668
幸町中学校,7450
西山小学校,4618
西山中学校,7431
鶴谷小学校,6867
鶴谷東小学校,2605
中野中学校,9150
田子中学校,6488
高砂中学校,7746
荒町小学校,7163
連坊小路小学校,7311
大和小学校,7711
遠見塚小学校,6334
古城小学校,5121
七郷小学校,12195
沖野小学校,6142
六郷小学校,11011
蒲町小学校,12950
南小泉小学校,6571
南小泉中学校,8208
六郷中学校,6488
七郷中学校,9853
沖野中学校,7209
沖野東小学校,5343
南材木町小学校,4470
八軒中学校,7727
若林小学校,4307
蒲町中学校,11295
荒井小学校,6912
向山小学校,4396
愛宕中学校,2292
大野田小学校,10937
郡山中学校,12737
八本松小学校,6216
長町中学校,16378
西多賀小学校,7163
八木山小学校,8480
八木山南小学校,4470
芦口小学校,5150
金剛沢小学校,6838
山田中学校,5878
太白小学校,2412
生出中学校,555
中田小学校,8288
四郎丸小学校,7666
袋原小学校,10996
長町小学校,9916
鹿野小学校,6186
上野山小学校,7267
西多賀中学校,6193
袋原中学校,7450
郡山小学校,3981
茂庭台小学校,2916
馬場小学校,252
秋保小学校,770
湯元小学校,1110
秋保中学校,1072
東四郎丸小学校,3641
西中田小学校,6142
長町南小学校,10005
富沢中学校,18578
人来田小学校,4233
東長町小学校,12595
中田中学校,12496
八木山中学校,8097
人来田中学校,2514
生出小学校,1332
茂庭台中学校,2181
柳生中学校,9723
柳生小学校,8318
富沢小学校,15111
根白石小学校,2190
高森小学校,3759
将監小学校,5106
将監中央小学校,8577
向陽台小学校,10375
七北田小学校,9368
七北田中学校,10518
松森小学校,3922
黒松小学校,6719
八乙女中学校,8799
南光台小学校,10464
南光台東小学校,5446
南光台中学校,5638
泉ケ丘小学校,3212
加茂小学校,5639
八乙女小学校,7652
鶴が丘小学校,3892
寺岡中学校,6951
南中山小学校,4144
虹の丘小学校,4351
長命ケ丘中学校,3346
加茂中学校,6248
館小学校,4040
住吉台小学校,5372
野村小学校,400
福岡小学校,533
高森中学校,5583
泉松陵小学校,5017
北中山小学校,7637
桂小学校,3626
鶴が丘中学校,4936
松陵中学校,2921
南光台東中学校,3327
向陽台中学校,6618
将監東中学校,5121
将監中学校,6882
将監西小学校,2664
高森東小学校,4262
長命ケ丘小学校,4736
南中山中学校,10056
寺岡小学校,9265
住吉台中学校,2976
根白石中学校,1405
館中学校,3457
仙台商業高等学校,24328
市名坂小学校,7800