小地域コード,小地域,人口総数,世帯総数,総数１５歳未満,総数１５～６４歳,総数６５歳以上,Latitude,Longitude
4101001000,宮城県仙台市青葉区青葉町,649,399,48,413,143,38.2830786,140.8641973
4101002000,宮城県仙台市青葉区あけぼの町,741,419,54,447,209,38.2886097,140.8636908
4101003001,宮城県仙台市青葉区旭ケ丘一丁目,2617,1753,182,1845,407,38.2896766,140.8837733
4101003002,宮城県仙台市青葉区旭ケ丘二丁目,2619,1536,268,1755,504,38.2918433,140.8878029
4101003003,宮城県仙台市青葉区旭ケ丘三丁目,1836,1130,158,1266,308,38.2955599,140.8870555
4101003004,宮城県仙台市青葉区旭ケ丘四丁目,2088,1156,232,1345,452,38.2998824,140.8863892
4101004001,宮城県仙台市青葉区荒巻字青葉,1604,718,62,1250,213,38.2577111,140.8334081
4101004002,宮城県仙台市青葉区荒巻字弘法山,228,100,28,140,52,38.2714031,140.833984
4101004003,宮城県仙台市青葉区荒巻字三居沢,121,3,0,2,119,38.2682608,140.8397943
4101004004,宮城県仙台市青葉区荒巻字仁田谷地,42,6,0,11,31,38.2803265,140.823957
4101005000,宮城県仙台市青葉区荒巻神明町,2078,1241,160,1313,522,38.2870474,140.8597433
4101006000,宮城県仙台市青葉区荒巻中央,831,421,115,533,169,38.2908055,140.8583761
4101007001,宮城県仙台市青葉区荒巻本沢一丁目,417,195,36,275,99,38.2887144,140.8487499
4101007002,宮城県仙台市青葉区荒巻本沢二丁目,518,298,42,320,127,38.2899746,140.8526568
4101007003,宮城県仙台市青葉区荒巻本沢三丁目,673,390,70,440,144,38.2913191,140.8553289
4101008001,宮城県仙台市青葉区一番町一丁目,2913,1728,298,1865,438,38.2568288,140.8731412
4101008002,宮城県仙台市青葉区一番町二丁目,1554,1078,159,948,191,38.2587273,140.8721501
4101008003,宮城県仙台市青葉区一番町三丁目,35,16,2,17,14,38.261146,140.872474
4101008004,宮城県仙台市青葉区一番町四丁目,30,21,0,8,14,38.2639518,140.8716043
4101009001,宮城県仙台市青葉区五橋一丁目,1977,1013,247,1166,438,38.2551121,140.8803828
4101009002,宮城県仙台市青葉区五橋二丁目,2489,1585,218,1611,450,38.2521739,140.8787436
4101010101,宮城県仙台市青葉区吉成台一丁目,243,104,26,155,60,38.2931622,140.8237923
4101010102,宮城県仙台市青葉区吉成台二丁目,510,142,61,298,151,38.2956256,140.8234962
4101010201,宮城県仙台市青葉区高野原一丁目,904,283,282,528,93,38.2856504,140.7723232
4101010202,宮城県仙台市青葉区高野原二丁目,660,209,124,464,72,38.2890924,140.7665446
4101010203,宮城県仙台市青葉区高野原三丁目,815,252,178,530,106,38.2894247,140.7616028
4101010204,宮城県仙台市青葉区高野原四丁目,660,211,102,467,91,38.2904449,140.7555049
4101010300,宮城県仙台市青葉区芋沢,3505,965,221,1507,1761,38.3034397,140.7347686
4101011000,宮城県仙台市青葉区梅田町,1315,767,135,874,265,38.2782639,140.8809964
4101012000,宮城県仙台市青葉区大倉,665,190,35,332,298,38.3876357,140.6458488
4101013000,宮城県仙台市青葉区大手町,997,594,91,617,225,38.2575046,140.8632691
4101014001,宮城県仙台市青葉区大町一丁目,110,99,0,58,17,38.2598033,140.8698034
4101014002,宮城県仙台市青葉区大町二丁目,2172,1702,100,1388,306,38.2597544,140.8660607
4101015000,宮城県仙台市青葉区霊屋下,1572,931,159,1023,336,38.25181,140.8662432
4101016004,宮城県仙台市青葉区小田原四丁目,1418,703,228,900,234,38.2679072,140.8895725
4101016005,宮城県仙台市青葉区小田原五丁目,1161,724,91,764,235,38.268724,140.8865681
4101016006,宮城県仙台市青葉区小田原六丁目,1382,843,108,927,283,38.2711858,140.8862758
4101016007,宮城県仙台市青葉区小田原七丁目,910,518,107,623,145,38.2709738,140.8893615
4101016008,宮城県仙台市青葉区小田原八丁目,2025,1126,142,1332,463,38.2707193,140.8930644
4101017001,宮城県仙台市青葉区折立一丁目,488,270,42,265,119,38.2646627,140.8119124
4101017002,宮城県仙台市青葉区折立二丁目,305,151,27,221,56,38.2681471,140.8055228
4101017003,宮城県仙台市青葉区折立三丁目,556,254,90,347,107,38.2649973,140.8069743
4101017004,宮城県仙台市青葉区折立四丁目,524,186,55,224,243,38.2618897,140.8078083
4101017005,宮城県仙台市青葉区折立五丁目,796,405,96,389,309,38.2596379,140.8050192
4101017006,宮城県仙台市青葉区折立六丁目,445,185,45,201,196,38.261661,140.8021732
4101018001,宮城県仙台市青葉区貝ケ森一丁目,1023,482,127,539,334,38.2821758,140.8416477
4101018002,宮城県仙台市青葉区貝ケ森二丁目,299,150,53,191,48,38.2802261,140.8388959
4101018003,宮城県仙台市青葉区貝ケ森三丁目,952,384,102,398,445,38.2845964,140.8419701
4101018004,宮城県仙台市青葉区貝ケ森四丁目,650,309,58,340,229,38.2840251,140.8369095
4101018005,宮城県仙台市青葉区貝ケ森五丁目,110,58,15,62,30,38.2871855,140.8398226
4101018006,宮城県仙台市青葉区貝ケ森六丁目,768,308,120,328,320,38.2831756,140.8448961
4101019001,宮城県仙台市青葉区花京院一丁目,1369,812,138,836,274,38.2647869,140.8816803
4101019002,宮城県仙台市青葉区花京院二丁目,797,554,46,548,112,38.2669883,140.88073
4101020001,宮城県仙台市青葉区柏木一丁目,3373,1994,399,2177,604,38.2751285,140.8643801
4101020002,宮城県仙台市青葉区柏木二丁目,2795,1684,260,1897,479,38.2739044,140.8554958
4101020003,宮城県仙台市青葉区柏木三丁目,1795,960,171,1127,422,38.2763243,140.8558189
4101021000,宮城県仙台市青葉区春日町,1635,1036,146,1028,301,38.2659707,140.8644012
4101022001,宮城県仙台市青葉区片平一丁目,1932,1291,132,1186,396,38.2578559,140.8670521
4101022002,宮城県仙台市青葉区片平二丁目,0,0,0,0,0,38.2537213,140.8739702
4101023000,宮城県仙台市青葉区花壇,913,512,89,502,274,38.2543971,140.8640988
4101024000,宮城県仙台市青葉区上愛子,6058,2256,828,3653,1534,38.2647035,140.7297053
4101025001,宮城県仙台市青葉区上杉一丁目,1830,1280,99,1231,261,38.2709919,140.8713013
4101025002,宮城県仙台市青葉区上杉二丁目,2012,1300,194,1351,343,38.2734115,140.8716252
4101025003,宮城県仙台市青葉区上杉三丁目,2227,1105,323,1499,316,38.2718633,140.8764009
4101025004,宮城県仙台市青葉区上杉四丁目,1220,639,155,827,190,38.2722143,140.8801851
4101025005,宮城県仙台市青葉区上杉五丁目,1671,950,182,1138,253,38.274283,140.8767251
4101025006,宮城県仙台市青葉区上杉六丁目,1825,912,194,1262,302,38.2779976,140.875977
4101026000,宮城県仙台市青葉区川内,2,1,0,0,0,38.255156,140.8529929
4101027001,宮城県仙台市青葉区川平一丁目,505,258,48,320,113,38.2953229,140.845892
4101027002,宮城県仙台市青葉区川平二丁目,1151,520,134,693,310,38.2991238,140.8439056
4101027003,宮城県仙台市青葉区川平三丁目,2231,978,241,1245,721,38.3055157,140.8397705
4101027004,宮城県仙台市青葉区川平四丁目,1366,610,126,658,568,38.3027404,140.835661
4101027005,宮城県仙台市青葉区川平五丁目,458,210,59,236,159,38.3074504,140.8337942
4101028000,宮城県仙台市青葉区菊田町,480,286,43,304,108,38.2854278,140.8476886
4101029000,宮城県仙台市青葉区北根黒松,1018,514,97,672,217,38.3045871,140.8801641
4101030001,宮城県仙台市青葉区北根一丁目,1601,861,128,1097,336,38.2927754,140.8742184
4101030002,宮城県仙台市青葉区北根二丁目,116,67,9,58,44,38.2969281,140.8760212
4101030003,宮城県仙台市青葉区北根三丁目,1280,675,123,836,266,38.2998704,140.8776619
4101030004,宮城県仙台市青葉区北根四丁目,178,96,12,91,64,38.2993856,140.8713644
4101031000,宮城県仙台市青葉区北目町,1350,1073,47,831,201,38.2547613,140.8766001
4101032001,宮城県仙台市青葉区北山一丁目,1191,630,95,743,298,38.2834164,140.8592582
4101032002,宮城県仙台市青葉区北山二丁目,1295,716,140,853,244,38.2837539,140.8543189
4101032003,宮城県仙台市青葉区北山三丁目,1276,861,76,881,185,38.2834017,140.8505336
4101033000,宮城県仙台市青葉区木町,2248,1387,171,1505,439,38.2784069,140.8610808
4101034001,宮城県仙台市青葉区木町通一丁目,2874,2023,232,2003,352,38.2690793,140.8635712
4101034002,宮城県仙台市青葉区木町通二丁目,2420,1461,270,1586,409,38.2732292,140.8653719
4101035001,宮城県仙台市青葉区国見ケ丘一丁目,976,374,101,570,303,38.2946004,140.8295922
4101035002,宮城県仙台市青葉区国見ケ丘二丁目,1101,417,103,650,346,38.2916577,140.8279547
4101035003,宮城県仙台市青葉区国見ケ丘三丁目,911,342,114,458,337,38.287858,140.8299423
4101035004,宮城県仙台市青葉区国見ケ丘四丁目,665,252,55,383,227,38.2875047,140.8261566
4101035005,宮城県仙台市青葉区国見ケ丘五丁目,1332,601,119,699,505,38.2843947,140.8269896
4101035006,宮城県仙台市青葉区国見ケ丘六丁目,739,355,19,393,324,38.285101,140.8345604
4101035007,宮城県仙台市青葉区国見ケ丘七丁目,111,16,3,18,90,38.2893376,140.8351241
4101036001,宮城県仙台市青葉区国見一丁目,1556,909,97,973,329,38.2800237,140.846345
4101036002,宮城県仙台市青葉区国見二丁目,1112,571,131,662,289,38.2745784,140.8456191
4101036003,宮城県仙台市青葉区国見三丁目,1098,632,72,725,263,38.2735368,140.8429886
4101036004,宮城県仙台市青葉区国見四丁目,523,353,26,328,89,38.2779401,140.8410835
4101036005,宮城県仙台市青葉区国見五丁目,813,454,70,510,193,38.2738733,140.8380501
4101036006,宮城県仙台市青葉区国見六丁目,2850,1391,210,1799,715,38.2786127,140.8312053
4101037000,宮城県仙台市青葉区熊ケ根,598,233,27,283,288,38.3025424,140.6748051
4101038001,宮城県仙台市青葉区国分町一丁目,329,244,19,187,69,38.2612302,140.8696129
4101038002,宮城県仙台市青葉区国分町二丁目,127,85,4,66,30,38.2632137,140.8690145
4101038003,宮城県仙台市青葉区国分町三丁目,1520,1028,116,969,221,38.2675318,140.8683468
4101039000,宮城県仙台市青葉区小松島新堤,522,182,124,222,172,38.2858871,140.8944799
4101040001,宮城県仙台市青葉区小松島一丁目,716,435,50,479,142,38.2780579,140.8884441
4101040002,宮城県仙台市青葉区小松島二丁目,1817,1056,207,1231,268,38.2831161,140.8903694
4101040003,宮城県仙台市青葉区小松島三丁目,1221,733,104,771,265,38.2834553,140.8854308
4101040004,宮城県仙台市青葉区小松島四丁目,1944,1205,176,1285,351,38.2869166,140.8883876
4101041001,宮城県仙台市青葉区米ケ袋一丁目,1180,682,133,773,218,38.2527235,140.8707236
4101041002,宮城県仙台市青葉区米ケ袋二丁目,1480,920,124,987,271,38.2500941,140.8734844
4101041003,宮城県仙台市青葉区米ケ袋三丁目,605,357,53,420,106,38.2478452,140.8706931
4101042000,宮城県仙台市青葉区郷六,2063,831,177,1124,694,38.2687293,140.8149428
4101043001,宮城県仙台市青葉区鷺ケ森一丁目,1356,710,130,832,346,38.2931138,140.8692784
4101043002,宮城県仙台市青葉区鷺ケ森二丁目,1084,528,137,662,269,38.2962251,140.8684484
4101044000,宮城県仙台市青葉区作並,757,387,23,400,322,38.3610979,140.6024802
4101045000,宮城県仙台市青葉区桜ケ岡公園,320,198,11,144,154,38.2613014,140.8612859
4101046001,宮城県仙台市青葉区桜ケ丘一丁目,1580,693,233,895,435,38.2969705,140.8486046
4101046002,宮城県仙台市青葉区桜ケ丘二丁目,1017,403,101,632,274,38.2979284,140.8524719
4101046003,宮城県仙台市青葉区桜ケ丘三丁目,1210,586,143,674,362,38.3013923,140.8554274
4101046004,宮城県仙台市青葉区桜ケ丘四丁目,911,510,67,504,285,38.30104,140.8516406
4101046005,宮城県仙台市青葉区桜ケ丘五丁目,1339,625,136,790,377,38.3006874,140.8478538
4101046006,宮城県仙台市青葉区桜ケ丘六丁目,1275,624,134,685,419,38.3025882,140.8468606
4101046007,宮城県仙台市青葉区桜ケ丘七丁目,1502,771,146,795,493,38.3074326,140.8475065
4101046008,宮城県仙台市青葉区桜ケ丘八丁目,0,0,0,0,0,38.3053629,140.8509707
4101046009,宮城県仙台市青葉区桜ケ丘九丁目,18,1,0,18,0,38.3076165,140.8537649
4101047000,宮城県仙台市青葉区三条町,1520,874,122,1156,191,38.2808126,140.8526802
4101048000,宮城県仙台市青葉区子平町,1948,1207,168,1275,407,38.2761408,140.849565
4101049101,宮城県仙台市青葉区落合一丁目,982,466,151,606,193,38.2708387,140.7927984
4101049102,宮城県仙台市青葉区落合二丁目,1143,604,191,832,99,38.2732586,140.7931181
4101049103,宮城県仙台市青葉区落合三丁目,614,253,80,344,187,38.2765123,140.7810883
4101049104,宮城県仙台市青葉区落合四丁目,1064,480,179,622,258,38.2744473,140.7845538
4101049105,宮城県仙台市青葉区落合五丁目,1622,684,233,1038,303,38.2711723,140.7878593
4101049106,宮城県仙台市青葉区落合六丁目,1058,367,219,747,74,38.2701291,140.78523
4101049301,宮城県仙台市青葉区愛子東一丁目,719,291,97,429,176,38.2723604,140.7792951
4101049302,宮城県仙台市青葉区愛子東二丁目,264,110,50,159,47,38.2730788,140.7731604
4101049303,宮城県仙台市青葉区愛子東三丁目,1072,386,218,665,179,38.2744251,140.7758295
4101049304,宮城県仙台市青葉区愛子東四丁目,1259,469,196,773,268,38.2759678,140.7710489
4101049305,宮城県仙台市青葉区愛子東五丁目,1445,654,179,910,335,38.275612,140.7672642
4101049306,宮城県仙台市青葉区愛子東六丁目,501,182,91,321,85,38.2722013,140.7680615
4101049400,宮城県仙台市青葉区下愛子,2666,1060,414,1688,544,38.2693127,140.7701731
4101050000,宮城県仙台市青葉区昭和町,3038,1614,334,1983,597,38.2808408,140.8701281
4101051001,宮城県仙台市青葉区西花苑一丁目,674,287,57,339,270,38.2672298,140.8010415
4101051002,宮城県仙台市青葉区西花苑二丁目,735,315,63,339,332,38.2623911,140.8004015
4101052000,宮城県仙台市青葉区星陵町,149,102,12,112,19,38.272357,140.8602722
4101053001,宮城県仙台市青葉区高松一丁目,1704,1068,143,1149,315,38.2775858,140.8908725
4101053002,宮城県仙台市青葉区高松二丁目,1443,705,170,968,266,38.2798361,140.8936667
4101053003,宮城県仙台市青葉区高松三丁目,1224,568,160,728,314,38.2815664,140.8951452
4101054000,宮城県仙台市青葉区滝道,1462,645,204,840,404,38.293254,140.8493554
4101055000,宮城県仙台市青葉区立町,2960,2121,168,1829,557,38.3267774,140.6779418
4101056000,宮城県仙台市青葉区台原森林公園,299,131,39,201,59,38.2959839,140.8808803
4101057001,宮城県仙台市青葉区台原一丁目,1507,826,181,1002,273,38.2824023,140.8740752
4101057002,宮城県仙台市青葉区台原二丁目,1116,638,74,760,242,38.2855126,140.8732457
4101057003,宮城県仙台市青葉区台原三丁目,2409,1527,174,1645,451,38.2890591,140.8749669
4101057004,宮城県仙台市青葉区台原四丁目,1288,795,96,847,278,38.284133,140.8755531
4101057005,宮城県仙台市青葉区台原五丁目,1897,960,237,1263,336,38.2844842,140.8793384
4101057006,宮城県仙台市青葉区台原六丁目,1230,555,151,842,219,38.2801638,140.8800052
4101057007,宮城県仙台市青葉区台原七丁目,842,460,101,562,148,38.2842724,140.8824252
4101058001,宮城県仙台市青葉区中央一丁目,36,25,2,19,9,38.2599491,140.8810315
4101058002,宮城県仙台市青葉区中央二丁目,46,19,2,24,19,38.261497,140.8762574
4101058003,宮城県仙台市青葉区中央三丁目,49,35,1,23,21,38.2595983,140.8772483
4101058004,宮城県仙台市青葉区中央四丁目,703,430,68,456,111,38.2570105,140.8793921
4101059000,宮城県仙台市青葉区千代田町,1061,799,38,681,192,38.2820574,140.8478622
4101060000,宮城県仙台市青葉区土樋,1586,952,133,1051,308,38.2492359,140.8771047
4101061000,宮城県仙台市青葉区堤通雨宮町,2839,1382,442,1766,534,38.2772105,140.8696421
4101062001,宮城県仙台市青葉区堤町一丁目,1438,840,129,927,307,38.2832612,140.8704521
4101062002,宮城県仙台市青葉区堤町二丁目,1171,722,96,748,269,38.2858509,140.8683065
4101062003,宮城県仙台市青葉区堤町三丁目,1070,644,96,645,270,38.2887923,140.8699463
4101063001,宮城県仙台市青葉区角五郎一丁目,1295,714,187,886,176,38.2656046,140.8518965
4101063002,宮城県仙台市青葉区角五郎二丁目,1477,883,169,1040,200,38.2659415,140.8469591
4101064001,宮城県仙台市青葉区東照宮一丁目,1742,913,185,1069,434,38.2798248,140.8849436
4101064002,宮城県仙台市青葉区東照宮二丁目,332,204,29,185,88,38.2782275,140.8859751
4101065001,宮城県仙台市青葉区通町一丁目,1618,854,193,1095,298,38.2775485,140.8647038
4101065002,宮城県仙台市青葉区通町二丁目,1456,922,122,1043,201,38.2799687,140.8650274
4101067001,宮城県仙台市青葉区中江一丁目,1231,646,149,653,394,38.2744761,140.8917006
4101067002,宮城県仙台市青葉区中江二丁目,1386,754,157,875,312,38.2718867,140.8938441
4101068001,宮城県仙台市青葉区中山吉成一丁目,937,421,108,493,316,38.2998127,140.8203124
4101068002,宮城県仙台市青葉区中山吉成二丁目,781,332,109,426,235,38.2983829,140.8188761
4101068003,宮城県仙台市青葉区中山吉成三丁目,385,180,42,191,142,38.2972139,140.8180978
4101069001,宮城県仙台市青葉区中山一丁目,1117,504,152,653,295,38.2915224,140.8478781
4101069002,宮城県仙台市青葉区中山二丁目,1299,640,153,709,405,38.2887487,140.8437695
4101069003,宮城県仙台市青葉区中山三丁目,665,297,66,364,221,38.2916747,140.8366814
4101069004,宮城県仙台市青葉区中山四丁目,2330,1054,259,1562,467,38.2920276,140.8404674
4101069005,宮城県仙台市青葉区中山五丁目,1109,515,157,650,277,38.2930699,140.843099
4101069006,宮城県仙台市青葉区中山六丁目,1118,494,138,647,327,38.2963493,140.8397965
4101069007,宮城県仙台市青葉区中山七丁目,977,404,177,610,181,38.2966858,140.8348554
4101069008,宮城県仙台市青葉区中山八丁目,1576,672,208,974,368,38.2975434,140.83123
4101069009,宮城県仙台市青葉区中山九丁目,830,354,110,459,256,38.2999652,140.831552
4101071000,宮城県仙台市青葉区新坂町,924,554,100,598,173,38.2782237,140.8548266
4101072000,宮城県仙台市青葉区西勝山,2164,925,226,1141,771,38.3001502,140.8378095
4101073001,宮城県仙台市青葉区錦町一丁目,2033,1242,232,1292,356,38.2687543,140.8772299
4101073002,宮城県仙台市青葉区錦町二丁目,1186,688,123,806,182,38.2691052,140.8810139
4101074000,宮城県仙台市青葉区新川,312,140,13,146,145,38.2996556,140.6445092
4101075000,宮城県仙台市青葉区支倉町,2092,1267,201,1410,344,38.2679962,140.861558
4101076001,宮城県仙台市青葉区八幡一丁目,1532,867,190,983,279,38.2685445,140.8535345
4101076002,宮城県仙台市青葉区八幡二丁目,1717,1114,144,1125,318,38.2723424,140.8515499
4101076003,宮城県仙台市青葉区八幡三丁目,2347,1589,123,1694,404,38.2683608,140.8472817
4101076004,宮城県仙台市青葉区八幡四丁目,1620,914,117,1058,378,38.2713853,140.847685
4101076005,宮城県仙台市青葉区八幡五丁目,698,408,57,411,204,38.2705963,140.8413511
4101076006,宮城県仙台市青葉区八幡六丁目,781,357,43,376,344,38.2686811,140.8336219
4101076007,宮城県仙台市青葉区八幡七丁目,587,260,56,334,187,38.2678911,140.8272884
4101077000,宮城県仙台市青葉区葉山町,1904,1004,116,1124,554,38.2848096,140.8656749
4101078001,宮城県仙台市青葉区東勝山一丁目,637,332,85,384,149,38.2984351,140.8718604
4101078002,宮城県仙台市青葉区東勝山二丁目,1097,491,122,613,350,38.2946626,140.8645001
4101078003,宮城県仙台市青葉区東勝山三丁目,1100,507,119,586,382,38.297774,140.8636697
4101079000,宮城県仙台市青葉区広瀬町,2230,1171,294,1427,413,38.2688964,140.8573185
4101080000,宮城県仙台市青葉区福沢町,1210,696,107,816,244,38.2741256,140.8879161
4101081000,宮城県仙台市青葉区藤松,581,299,59,317,200,38.2967947,140.8735104
4101082001,宮城県仙台市青葉区双葉ケ丘一丁目,1541,743,163,981,378,38.3036726,140.8756782
4101082002,宮城県仙台市青葉区双葉ケ丘二丁目,414,139,38,151,223,38.3003783,140.8702507
4101083000,宮城県仙台市青葉区二日町,2957,2049,241,1887,472,38.2706405,140.8675171
4101084001,宮城県仙台市青葉区本町一丁目,1460,1107,74,938,197,38.2656456,140.8780589
4101084002,宮城県仙台市青葉区本町二丁目,501,381,17,269,88,38.2646053,140.8754284
4101084003,宮城県仙台市青葉区本町三丁目,466,246,84,300,54,38.267883,140.8721307
4101085001,宮城県仙台市青葉区水の森一丁目,918,477,78,570,240,38.2910307,140.8640145
4101085002,宮城県仙台市青葉区水の森二丁目,1082,435,125,589,356,38.2931,140.8605521
4101085003,宮城県仙台市青葉区水の森三丁目,1643,695,176,838,609,38.2952537,140.8558542
4101085004,宮城県仙台市青葉区水の森四丁目,26,9,1,16,9,38.3031244,140.8569053
4101086001,宮城県仙台市青葉区みやぎ台一丁目,955,346,80,417,451,38.3050242,140.7748738
4101086002,宮城県仙台市青葉区みやぎ台二丁目,1102,438,123,606,370,38.3082189,140.7728007
4101086003,宮城県仙台市青葉区みやぎ台三丁目,1152,471,133,629,382,38.3108913,140.7694116
4101086004,宮城県仙台市青葉区みやぎ台四丁目,840,351,82,430,319,38.3117465,140.7657832
4101086005,宮城県仙台市青葉区みやぎ台五丁目,629,255,83,338,207,38.3126016,140.7621545
4101087001,宮城県仙台市青葉区宮町一丁目,1736,1151,134,1210,267,38.2670366,140.8844733
4101087002,宮城県仙台市青葉区宮町二丁目,1307,1005,69,1005,126,38.2701032,140.8842619
4101087003,宮城県仙台市青葉区宮町三丁目,1292,673,158,864,216,38.2726075,140.8833522
4101087004,宮城県仙台市青葉区宮町四丁目,1513,990,107,1036,282,38.2756745,140.8831408
4101087005,宮城県仙台市青葉区宮町五丁目,1293,636,168,883,198,38.2767574,140.8851549
4101088000,宮城県仙台市青葉区向田,493,209,53,265,173,38.2799978,140.7927624
4101089000,宮城県仙台市青葉区茂庭,73,25,7,37,29,38.2548839,140.8031445
4101090000,宮城県仙台市青葉区山手町,2738,1617,188,1845,532,38.2869484,140.852253
4101091001,宮城県仙台市青葉区吉成一丁目,949,393,127,492,318,38.2900936,140.824008
4101091002,宮城県仙台市青葉区吉成二丁目,728,293,74,368,283,38.2935396,140.8182336
4101091003,宮城県仙台市青葉区吉成三丁目,774,337,96,380,290,38.2911183,140.8179123
4101092001,宮城県仙台市青葉区錦ケ丘一丁目,624,239,169,334,119,38.2584256,140.7687407
4101092002,宮城県仙台市青葉区錦ケ丘二丁目,579,180,95,401,83,38.2548804,140.767029
4101092003,宮城県仙台市青葉区錦ケ丘三丁目,1536,425,580,883,72,38.2524617,140.7667109
4101092004,宮城県仙台市青葉区錦ケ丘四丁目,1122,320,457,626,39,38.2521296,140.7716483
4101092005,宮城県仙台市青葉区錦ケ丘五丁目,1248,422,286,777,185,38.250541,140.7589868
4101092006,宮城県仙台市青葉区錦ケ丘六丁目,960,326,192,571,191,38.2527936,140.7617733
4101092007,宮城県仙台市青葉区錦ケ丘七丁目,516,179,104,298,114,38.2558999,140.760936
4101092008,宮城県仙台市青葉区錦ケ丘八丁目,1390,417,304,952,120,38.2591723,140.7576295
4101092009,宮城県仙台市青葉区錦ケ丘九丁目,476,135,120,327,29,38.2621134,140.7592612
4101093001,宮城県仙台市青葉区赤坂一丁目,433,148,67,268,98,38.2925098,140.7520366
4101093002,宮城県仙台市青葉区赤坂二丁目,1040,402,155,653,227,38.2943005,140.7435458
4101093003,宮城県仙台市青葉区赤坂三丁目,850,321,125,584,138,38.2923187,140.7457792
