小地域コード,小地域,人口総数,世帯総数,総数１５歳未満,総数１５～６４歳,総数６５歳以上,Latitude,Longitude
4101094001,宮城県仙台市青葉区栗生一丁目,1027,417,126,650,244,38.2615155,140.7953035
4101094002,宮城県仙台市青葉区栗生二丁目,780,314,154,483,128,38.2675221,140.7967203
4101094003,宮城県仙台市青葉区栗生三丁目,1086,475,127,722,222,38.2658326,140.7946285
4101094004,宮城県仙台市青葉区栗生四丁目,848,405,103,529,204,38.2678558,140.7917816
4101094005,宮城県仙台市青葉区栗生五丁目,728,322,106,452,148,38.2668545,140.7885351
4101094006,宮城県仙台市青葉区栗生六丁目,600,210,107,355,128,38.2677094,140.7849108
4101094007,宮城県仙台市青葉区栗生七丁目,306,155,49,185,63,38.2675208,140.7786574
4101095001,宮城県仙台市青葉区中山台一丁目,448,169,48,283,110,38.2987601,140.8133166
4101095002,宮城県仙台市青葉区中山台二丁目,1041,419,84,639,311,38.3016619,140.8155713
4101095003,宮城県仙台市青葉区中山台三丁目,571,230,41,325,205,38.3016105,140.8118245
4101095004,宮城県仙台市青葉区中山台四丁目,528,224,68,308,148,38.2978005,140.8094498
4101096000,宮城県仙台市青葉区ニツカ,10,5,0,6,4,38.3091435,140.6518625
4101097001,宮城県仙台市青葉区南吉成一丁目,630,253,70,325,232,38.2866298,140.8210555
4101097002,宮城県仙台市青葉区南吉成二丁目,730,280,105,433,192,38.284898,140.8195795
4101097003,宮城県仙台市青葉区南吉成三丁目,516,155,68,248,199,38.2874866,140.8174305
4101097004,宮城県仙台市青葉区南吉成四丁目,526,208,49,329,147,38.2883013,140.814423
4101097005,宮城県仙台市青葉区南吉成五丁目,554,213,87,390,75,38.2909319,140.8116559
4101097006,宮城県仙台市青葉区南吉成六丁目,298,105,31,145,116,38.2854008,140.8121691
4101097007,宮城県仙台市青葉区南吉成七丁目,528,169,63,257,197,38.282645,140.8167883
4101098000,宮城県仙台市青葉区臨済院,0,0,0,0,0,38.2851638,140.8280264
4101099000,宮城県仙台市青葉区川内追廻,0,0,0,0,0,38.2540456,140.8603161
4101100000,宮城県仙台市青葉区川内亀岡北裏丁,173,138,5,133,25,38.2624218,140.8471125
4101101000,宮城県仙台市青葉区川内亀岡町,1006,773,64,809,68,38.2608009,140.8462737
4101102000,宮城県仙台市青葉区川内川前丁,368,290,15,276,55,38.2643674,140.8610729
4101103000,宮城県仙台市青葉区川内三十人町,1615,1170,139,1125,167,38.2638077,140.844494
4101104000,宮城県仙台市青葉区川内大工町,506,388,23,373,56,38.2627218,140.858362
4101105000,宮城県仙台市青葉区川内中ノ瀬町,49,29,5,26,15,38.2611678,140.8587771
4101106000,宮城県仙台市青葉区川内明神横丁,144,121,3,111,13,38.2650776,140.8596109
4101107000,宮城県仙台市青葉区川内山屋敷,318,280,2,255,36,38.2582979,140.8471854
4101108000,宮城県仙台市青葉区川内澱橋通,526,402,18,355,87,38.2657879,140.8581488
4101109000,宮城県仙台市青葉区川内元支倉,420,207,80,323,9,38.2637059,140.8528886
4101110000,宮城県仙台市青葉区青葉山,0,0,0,0,0,38.2597825,140.8567239
4101111001,宮城県仙台市青葉区愛子中央一丁目,224,110,35,147,31,38.2728359,140.7631614
4101111002,宮城県仙台市青葉区愛子中央二丁目,707,335,102,437,154,38.2765078,140.763021
4101111003,宮城県仙台市青葉区愛子中央三丁目,1212,543,173,685,341,38.274983,140.7584598
4101111004,宮城県仙台市青葉区愛子中央四丁目,621,218,97,383,130,38.2753975,140.7522844
4101111005,宮城県仙台市青葉区愛子中央五丁目,744,344,124,500,104,38.2730312,140.7557117
4101111006,宮城県仙台市青葉区愛子中央六丁目,353,150,58,200,80,38.2722603,140.7581023
4101113000,宮城県仙台市青葉区中山台西,457,160,83,321,48,38.3040327,140.8121455
4102001001,宮城県仙台市宮城野区安養寺一丁目,1470,662,170,877,399,38.2881379,140.8972748
4102001002,宮城県仙台市宮城野区安養寺二丁目,1381,591,142,774,439,38.2858974,140.9032041
4102001003,宮城県仙台市宮城野区安養寺三丁目,99,42,23,52,24,38.2836566,140.9091326
4102002000,宮城県仙台市宮城野区銀杏町,2482,1469,200,1706,440,38.263959,140.9114609
4102003001,宮城県仙台市宮城野区出花一丁目,1296,670,149,921,176,38.2778271,140.9843424
4102003002,宮城県仙台市宮城野区出花二丁目,846,424,91,565,168,38.2785621,140.9869343
4102003003,宮城県仙台市宮城野区出花三丁目,466,209,76,312,66,38.2795995,140.9895675
4102004000,宮城県仙台市宮城野区岩切,243,124,34,177,21,38.2989884,140.9436065
4102004101,宮城県仙台市宮城野区岩切分台一丁目,616,263,143,429,31,38.3047904,140.9568587
4102004102,宮城県仙台市宮城野区岩切分台二丁目,566,181,100,312,142,38.3082515,140.9598222
4102004103,宮城県仙台市宮城野区岩切分台三丁目,1154,464,226,817,92,38.3078607,140.9566524
4102004201,宮城県仙台市宮城野区岩切字水分,9156,3775,1394,5603,1998,38.3013181,140.9364432
4102004202,宮城県仙台市宮城野区岩切字三所南,4327,1641,672,2647,945,38.3006331,140.9463223
4102005001,宮城県仙台市宮城野区岩切一丁目,443,186,53,258,129,38.2921527,140.9364489
4102005002,宮城県仙台市宮城野区岩切二丁目,887,391,116,549,210,38.2935342,140.9341434
4102005003,宮城県仙台市宮城野区岩切三丁目,877,366,130,514,222,38.2961264,140.9320014
4102006001,宮城県仙台市宮城野区扇町一丁目,5,3,0,4,5,38.2708115,140.9447714
4102006002,宮城県仙台市宮城野区扇町二丁目,0,0,0,0,0,38.2673539,140.9418116
4102006003,宮城県仙台市宮城野区扇町三丁目,3,2,0,0,0,38.2625161,140.9411562
4102006004,宮城県仙台市宮城野区扇町四丁目,0,0,0,0,0,38.2618314,140.9510263
4102006005,宮城県仙台市宮城野区扇町五丁目,0,0,0,0,0,38.2680498,140.9493792
4102006006,宮城県仙台市宮城野区扇町六丁目,4,2,0,0,0,38.2676214,140.9555487
4102006007,宮城県仙台市宮城野区扇町七丁目,0,0,0,0,0,38.2610822,140.9537881
4102007000,宮城県仙台市宮城野区大梶,2879,1341,285,1770,768,38.2714621,140.9000155
4102008000,宮城県仙台市宮城野区岡田,1603,523,176,917,502,38.2426744,140.9807919
4102009000,宮城県仙台市宮城野区岡田西町,0,0,0,0,0,38.2557043,140.9601564
4102014000,宮城県仙台市宮城野区小田原山本丁,481,248,65,296,95,38.2645568,140.8872543
4102015000,宮城県仙台市宮城野区小田原弓ノ町,1331,736,221,900,116,38.2643025,140.8909566
4102016001,宮城県仙台市宮城野区小田原一丁目,3014,1674,467,2074,257,38.266008,140.890563
4102016002,宮城県仙台市宮城野区小田原二丁目,1075,594,91,688,250,38.2651487,140.8941841
4102016003,宮城県仙台市宮城野区小田原三丁目,1140,641,84,722,276,38.2680878,140.8958248
4102016100,宮城県仙台市宮城野区中野,39,13,11,24,4,38.2716922,140.9847508
4102017000,宮城県仙台市宮城野区花京院通,0,0,0,0,0,38.2647793,140.8840147
4102018000,宮城県仙台市宮城野区蟹沢,59,22,10,39,10,38.2835619,140.9016437
4102019000,宮城県仙台市宮城野区蒲生,1876,665,207,1159,510,38.2537276,140.9972406
4102020001,宮城県仙台市宮城野区蒲生一丁目,19,9,0,0,0,38.2621478,140.9946564
4102020002,宮城県仙台市宮城野区蒲生二丁目,2,1,0,0,0,38.2610682,141.0057163
4102021000,宮城県仙台市宮城野区車町,564,308,102,386,15,38.2647263,140.884786
4102022000,宮城県仙台市宮城野区小鶴,17,2,0,0,0,38.2784127,140.9408185
4102023001,宮城県仙台市宮城野区小鶴一丁目,876,370,112,538,215,38.2854034,140.928059
4102023002,宮城県仙台市宮城野区小鶴二丁目,553,279,69,393,74,38.28346,140.9296654
4102023003,宮城県仙台市宮城野区小鶴三丁目,628,320,86,354,181,38.2812532,140.9262521
4102024001,宮城県仙台市宮城野区五輪一丁目,1786,967,197,1146,374,38.2617855,140.8987138
4102024002,宮城県仙台市宮城野区五輪二丁目,2199,1320,186,1430,494,38.2637795,140.9052094
4102025001,宮城県仙台市宮城野区幸町一丁目,976,570,105,642,181,38.2779362,140.8946572
4102025002,宮城県仙台市宮城野区幸町二丁目,3161,1423,452,2081,545,38.2753464,140.8968008
4102025003,宮城県仙台市宮城野区幸町三丁目,2321,1143,226,1335,708,38.2762165,140.9019011
4102025004,宮城県仙台市宮城野区幸町四丁目,33,1,0,22,11,38.2765239,140.9063029
4102025005,宮城県仙台市宮城野区幸町五丁目,1295,587,157,829,294,38.2736267,140.904044
4102026001,宮城県仙台市宮城野区栄一丁目,657,297,58,386,200,38.2805054,140.9809703
4102026002,宮城県仙台市宮城野区栄二丁目,1537,765,180,994,327,38.2805054,140.9809703
4102026003,宮城県仙台市宮城野区栄三丁目,715,356,89,397,202,38.2805054,140.9809703
4102026004,宮城県仙台市宮城野区栄四丁目,1357,674,140,840,304,38.2821481,140.9836861
4102026005,宮城県仙台市宮城野区栄五丁目,1086,508,118,764,158,38.282797,140.9875124
4102027001,宮城県仙台市宮城野区清水沼一丁目,601,336,53,389,120,38.2654988,140.8979678
4102027002,宮城県仙台市宮城野区清水沼二丁目,1028,581,91,637,259,38.2672707,140.8988289
4102027003,宮城県仙台市宮城野区清水沼三丁目,1114,523,142,685,254,38.2682679,140.902077
4102030000,宮城県仙台市宮城野区自由ケ丘,1172,513,161,682,322,38.290909,140.9013862
4102032101,宮城県仙台市宮城野区田子一丁目,2428,1257,265,1634,408,38.2780797,140.9631982
4102032102,宮城県仙台市宮城野区田子二丁目,1916,963,287,1375,179,38.2807572,140.9598247
4102032103,宮城県仙台市宮城野区田子三丁目,2080,900,325,1345,363,38.2829196,140.9638564
4102032200,宮城県仙台市宮城野区田子,1002,333,133,486,376,38.2818813,140.9612234
4102032301,宮城県仙台市宮城野区田子西一丁目,650,260,139,343,166,38.2876704,140.957026
4102032302,宮城県仙台市宮城野区田子西二丁目,765,284,127,429,209,38.284559,140.9578494
4102032303,宮城県仙台市宮城野区田子西三丁目,387,130,63,232,92,38.2804525,140.9554227
4102034000,宮城県仙台市宮城野区榴ケ岡,2268,1333,284,1545,237,38.2610005,140.8923812
4102035001,宮城県仙台市宮城野区榴岡一丁目,304,221,14,210,48,38.2590904,140.8846524
4102035002,宮城県仙台市宮城野区榴岡二丁目,812,357,81,599,73,38.2612068,140.8849364
4102035003,宮城県仙台市宮城野区榴岡三丁目,1977,1268,152,1292,341,38.2606502,140.8885979
4102035004,宮城県仙台市宮城野区榴岡四丁目,801,472,65,457,237,38.2582315,140.8882731
4102035005,宮城県仙台市宮城野区榴岡五丁目,1458,863,120,1054,185,38.2578924,140.8932089
4102037000,宮城県仙台市宮城野区燕沢字前塚,0,0,0,0,0,38.2848907,140.935466
4102037001,宮城県仙台市宮城野区燕沢一丁目,1095,458,110,637,333,38.2815945,140.9213144
4102037002,宮城県仙台市宮城野区燕沢二丁目,1437,601,159,879,384,38.2835802,140.9190905
4102037003,宮城県仙台市宮城野区燕沢三丁目,748,299,95,437,209,38.2869551,140.9232844
4102038001,宮城県仙台市宮城野区燕沢東一丁目,369,165,49,243,62,38.2868343,140.9338599
4102038002,宮城県仙台市宮城野区燕沢東二丁目,686,265,121,357,201,38.287265,140.932049
4102038003,宮城県仙台市宮城野区燕沢東三丁目,1129,447,148,668,299,38.2888634,140.9310191
4102039000,宮城県仙台市宮城野区鶴ケ谷,636,221,57,310,248,38.2906102,140.9165613
4102040001,宮城県仙台市宮城野区鶴ケ谷一丁目,1262,519,151,626,483,38.2867674,140.9083057
4102040002,宮城県仙台市宮城野区鶴ケ谷二丁目,2150,1162,227,938,956,38.2888475,140.9135706
4102040003,宮城県仙台市宮城野区鶴ケ谷三丁目,1060,408,187,537,336,38.2897082,140.9099481
4102040004,宮城県仙台市宮城野区鶴ケ谷四丁目,1300,520,152,681,464,38.2922994,140.9078047
4102040005,宮城県仙台市宮城野区鶴ケ谷五丁目,1397,660,159,738,485,38.2936894,140.9142236
4102040006,宮城県仙台市宮城野区鶴ケ谷六丁目,2258,1227,144,1096,1001,38.291882,140.9227036
4102040007,宮城県仙台市宮城野区鶴ケ谷七丁目,1212,499,153,618,432,38.2878161,140.9196623
4102040008,宮城県仙台市宮城野区鶴ケ谷八丁目,751,341,73,405,269,38.2876841,140.9171522
4102041001,宮城県仙台市宮城野区鶴ケ谷北一丁目,520,204,44,211,265,38.296068,140.9151675
4102041002,宮城県仙台市宮城野区鶴ケ谷北二丁目,435,166,46,217,170,38.2981441,140.9160708
4102042001,宮城県仙台市宮城野区鶴ケ谷東一丁目,526,202,86,286,149,38.2886852,140.9247642
4102042002,宮城県仙台市宮城野区鶴ケ谷東二丁目,1262,534,167,708,363,38.2914551,140.9288771
4102042003,宮城県仙台市宮城野区鶴ケ谷東三丁目,918,385,143,480,288,38.2938761,140.9292045
4102042004,宮城県仙台市宮城野区鶴ケ谷東四丁目,791,339,113,489,178,38.2954283,140.9244289
4102043001,宮城県仙台市宮城野区鶴巻一丁目,1061,485,166,687,176,38.2632208,140.9661596
4102043002,宮城県仙台市宮城野区鶴巻二丁目,144,64,12,87,44,38.2604999,140.9657894
4102044000,宮城県仙台市宮城野区鉄砲町,163,75,27,119,15,38.2628836,140.8960592
4102045000,宮城県仙台市宮城野区名掛丁,415,280,33,272,58,38.2625009,140.8838646
4102046101,宮城県仙台市宮城野区中野一丁目,731,286,122,451,145,38.2722089,140.9773476
4102046102,宮城県仙台市宮城野区中野二丁目,568,230,92,411,57,38.27437,140.9813793
4102046103,宮城県仙台市宮城野区中野三丁目,0,0,0,0,0,38.2739392,140.9875488
4102046104,宮城県仙台市宮城野区中野四丁目,0,0,0,0,0,38.2694454,140.9819531
4102046105,宮城県仙台市宮城野区中野五丁目,5,1,0,0,0,38.2665956,140.9877917
4102046200,宮城県仙台市宮城野区中野,1165,600,118,769,245,38.2716922,140.9847508
4102047001,宮城県仙台市宮城野区苦竹一丁目,1674,1000,90,1059,430,38.2684565,140.9170496
4102047002,宮城県仙台市宮城野区苦竹二丁目,583,355,68,450,44,38.2703643,140.9247808
4102047003,宮城県仙台市宮城野区苦竹三丁目,3,1,0,0,0,38.2670843,140.9280743
4102047004,宮城県仙台市宮城野区苦竹四丁目,0,0,0,0,0,38.2634558,140.9275838
4102048000,宮城県仙台市宮城野区西宮城野,1199,768,113,872,141,38.2554368,140.8978598
4102049000,宮城県仙台市宮城野区二十人町,1859,1351,151,1334,115,38.2623371,140.8906926
4102050000,宮城県仙台市宮城野区二の森,1850,782,243,1211,380,38.2788064,140.8997578
4102051001,宮城県仙台市宮城野区萩野町一丁目,1232,684,131,831,212,38.2584743,140.9113442
4102051002,宮城県仙台市宮城野区萩野町二丁目,1274,590,165,931,163,38.2558432,140.9141026
4102051003,宮城県仙台市宮城野区萩野町三丁目,1676,900,181,1086,349,38.2574015,140.9180486
4102051004,宮城県仙台市宮城野区萩野町四丁目,1271,669,172,862,177,38.2595134,140.913975
4102052101,宮城県仙台市宮城野区平成一丁目,1461,858,108,975,323,38.2698365,140.9147445
4102052102,宮城県仙台市宮城野区平成二丁目,1374,760,97,872,360,38.2708758,140.917376
4102052200,宮城県仙台市宮城野区小鶴,2,1,0,0,0,38.2784127,140.9408185
4102053000,宮城県仙台市宮城野区原町南目,98,80,3,72,9,38.2629711,140.8970051
4102054001,宮城県仙台市宮城野区原町一丁目,1686,988,158,1171,283,38.263902,140.8989985
4102054002,宮城県仙台市宮城野区原町二丁目,1256,624,182,826,216,38.2656788,140.9042196
4102054003,宮城県仙台市宮城野区原町三丁目,1181,766,101,824,167,38.267238,140.9081662
4102054004,宮城県仙台市宮城野区原町四丁目,695,373,74,470,122,38.2694351,140.9028569
4102054005,宮城県仙台市宮城野区原町五丁目,1026,640,73,667,241,38.2696573,140.9084922
4102054006,宮城県仙台市宮城野区原町六丁目,336,193,26,224,69,38.2706968,140.9111236
4102055001,宮城県仙台市宮城野区東仙台一丁目,1516,826,143,960,350,38.2796941,140.9223037
4102055002,宮城県仙台市宮城野区東仙台二丁目,1256,711,130,877,200,38.2781886,140.9168372
4102055003,宮城県仙台市宮城野区東仙台三丁目,722,453,53,463,183,38.2725965,140.9101339
4102055004,宮城県仙台市宮城野区東仙台四丁目,1609,677,339,1085,159,38.276226,140.9106231
4102055005,宮城県仙台市宮城野区東仙台五丁目,1287,627,102,745,417,38.2766181,140.9137905
4102055006,宮城県仙台市宮城野区東仙台六丁目,1339,484,206,755,370,38.2796857,140.9135813
4102055007,宮城県仙台市宮城野区東仙台七丁目,805,331,102,476,220,38.2821059,140.9139076
4102056000,宮城県仙台市宮城野区東宮城野,1237,615,190,799,229,38.25982,140.918375
4102057000,宮城県仙台市宮城野区東六番丁,0,0,0,0,0,38.2640657,140.8832962
4102062001,宮城県仙台市宮城野区日の出町一丁目,2,1,0,0,0,38.2701151,140.9372033
4102062002,宮城県仙台市宮城野区日の出町二丁目,2,1,0,0,0,38.2672621,140.934326
4102062003,宮城県仙台市宮城野区日の出町三丁目,21,11,1,12,17,38.2642384,140.9339169
4102063000,宮城県仙台市宮城野区福住町,1667,801,175,1086,356,38.273841,140.953902
4102064001,宮城県仙台市宮城野区福田町一丁目,1332,640,183,907,201,38.2728073,140.95999
4102064002,宮城県仙台市宮城野区福田町二丁目,2826,1505,363,1880,455,38.2677972,140.9618002
4102064003,宮城県仙台市宮城野区福田町三丁目,479,217,69,304,97,38.2640401,140.9631575
4102064004,宮城県仙台市宮城野区福田町四丁目,707,331,78,459,159,38.2632618,140.9611836
4102065001,宮城県仙台市宮城野区福田町南一丁目,317,168,43,206,46,38.2581225,140.960485
4102065002,宮城県仙台市宮城野区福田町南二丁目,55,33,2,34,15,38.2587719,140.9643091
4102066001,宮城県仙台市宮城野区福室字田中東一番,931,401,113,547,238,38.2622295,140.9716288
4102066002,宮城県仙台市宮城野区福室字県道前,0,0,0,0,0,38.2748435,140.9745925
4102068000,宮城県仙台市宮城野区枡江,608,262,106,401,89,38.2801964,140.9061745
4102069000,宮城県仙台市宮城野区松岡町,214,108,22,128,61,38.2747181,140.9147801
4102070001,宮城県仙台市宮城野区港一丁目,0,0,0,0,0,38.2647816,141.0136972
4102070002,宮城県仙台市宮城野区港二丁目,0,0,0,0,0,38.2684106,140.996758
4102070003,宮城県仙台市宮城野区港三丁目,0,0,0,0,0,38.2753227,141.0026861
4102070004,宮城県仙台市宮城野区港四丁目,0,0,0,0,0,38.2765304,141.0202913
4102070005,宮城県仙台市宮城野区港五丁目,0,0,0,0,0,38.2779083,141.0354293
4102071000,宮城県仙台市宮城野区南目館,1684,519,138,1506,6,38.2640527,140.9189463
4102072001,宮城県仙台市宮城野区宮城野一丁目,1742,1116,149,1124,339,38.2575529,140.8981445
4102072002,宮城県仙台市宮城野区宮城野二丁目,1669,913,218,1150,256,38.2533613,140.9026137
4102072003,宮城県仙台市宮城野区宮城野三丁目,1157,470,194,799,161,38.2563536,140.9067
4102073001,宮城県仙台市宮城野区宮千代一丁目,1810,1054,174,1226,315,38.2549744,140.9090046
4102073002,宮城県仙台市宮城野区宮千代二丁目,1210,641,131,838,190,38.253425,140.9137765
4102073003,宮城県仙台市宮城野区宮千代三丁目,1056,534,127,737,165,38.2532122,140.9168607
4102074000,宮城県仙台市宮城野区元寺小路,327,274,11,249,9,38.2637104,140.8840269
4102076000,宮城県仙台市宮城野区仙石,843,341,75,501,261,38.2731453,140.9463335
4102077001,宮城県仙台市宮城野区高砂一丁目,2349,1189,255,1668,349,38.2701338,140.9720825
4102077002,宮城県仙台市宮城野区高砂二丁目,886,478,75,612,169,38.2678007,140.9705193
4102078001,宮城県仙台市宮城野区白鳥一丁目,1856,823,174,1152,506,38.2648658,140.9775922
4102078002,宮城県仙台市宮城野区白鳥二丁目,1083,444,129,615,330,38.2618444,140.9858977
4102079001,宮城県仙台市宮城野区新田一丁目,2104,1156,214,1360,450,38.2731249,140.9201709
4102079002,宮城県仙台市宮城野区新田二丁目,2041,1050,254,1344,390,38.2765838,140.9231295
4102079003,宮城県仙台市宮城野区新田三丁目,1826,835,277,1163,337,38.2786624,140.9283938
4102079004,宮城県仙台市宮城野区新田四丁目,2937,1475,413,2029,401,38.2756376,140.9279849
4102079005,宮城県仙台市宮城野区新田五丁目,1235,593,163,874,148,38.2720935,140.9262601
4102080001,宮城県仙台市宮城野区福室一丁目,821,441,71,549,159,38.2693539,140.9657485
4102080002,宮城県仙台市宮城野区福室二丁目,2100,1091,186,1408,445,38.2724639,140.964926
4102080003,宮城県仙台市宮城野区福室三丁目,3010,1366,372,2024,559,38.2753164,140.9678054
4102080004,宮城県仙台市宮城野区福室四丁目,1213,461,203,690,309,38.2767872,140.9729886
4102080005,宮城県仙台市宮城野区福室五丁目,2188,1006,266,1288,606,38.2798979,140.9721665
4102080006,宮城県仙台市宮城野区福室六丁目,2148,952,315,1313,507,38.2849101,140.9703571
4102080007,宮城県仙台市宮城野区福室七丁目,1236,509,128,743,348,38.283528,140.9726609
4102082000,宮城県仙台市宮城野区二十人町通,2,1,0,0,0,38.2626336,140.8969208
4102085001,宮城県仙台市宮城野区新田東一丁目,1096,449,224,785,70,38.2783207,140.933331
4102085002,宮城県仙台市宮城野区新田東二丁目,3327,1433,637,2397,223,38.274691,140.9328399
4102085003,宮城県仙台市宮城野区新田東三丁目,1112,647,161,838,49,38.2738298,140.9364606
4102085004,宮城県仙台市宮城野区新田東四丁目,296,104,75,211,8,38.279317,140.9365805
4102085005,宮城県仙台市宮城野区新田東五丁目,557,224,115,395,32,38.2807407,140.9336584
4102086001,宮城県仙台市宮城野区仙台港北一丁目,0,0,0,0,0,38.2795568,140.994545
4102086002,宮城県仙台市宮城野区仙台港北二丁目,0,0,0,0,0,38.279125,141.000715
4102090000,宮城県仙台市宮城野区鉄砲町中,901,628,44,673,57,38.2636313,140.889621
4102091000,宮城県仙台市宮城野区鉄砲町西,544,346,38,387,57,38.2635621,140.8861866
4102092000,宮城県仙台市宮城野区鉄砲町東,1141,564,186,779,128,38.2636368,140.8939809
4103001000,宮城県仙台市若林区荒井,1251,434,150,679,416,38.2298913,140.9541599
4103002000,宮城県仙台市若林区荒浜,212,72,11,120,81,38.226103,140.9735548
4103003001,宮城県仙台市若林区荒浜新一丁目,0,0,0,0,0,38.2202812,140.9783604
4103003002,宮城県仙台市若林区荒浜新二丁目,0,0,0,0,0,38.2168302,140.9754018
4103004000,宮城県仙台市若林区荒町,1016,691,56,667,230,38.2487282,140.884507
4103005000,宮城県仙台市若林区飯田,232,81,18,133,81,38.2165142,140.9448793
4103007000,宮城県仙台市若林区石垣町,232,125,33,121,69,38.2471324,140.8855379
4103008000,宮城県仙台市若林区石名坂,1054,580,106,651,250,38.2452344,140.8865281
4103009000,宮城県仙台市若林区五橋,1756,885,228,1137,290,38.2536913,140.8833053
4103010000,宮城県仙台市若林区一本杉町,2092,1092,211,1293,520,38.2441791,140.9063052
4103011000,宮城県仙台市若林区井土,19,10,0,5,14,38.1998827,140.9650093
4103012000,宮城県仙台市若林区今泉,709,179,89,323,297,38.20469,140.9308388
4103013000,宮城県仙台市若林区裏柴田町,331,194,23,198,76,38.2498211,140.895237
4103014000,宮城県仙台市若林区沖野,26,10,3,14,9,38.2274494,140.9189853
4103015001,宮城県仙台市若林区沖野一丁目,1332,575,146,783,399,38.2327926,140.9122391
4103015002,宮城県仙台市若林区沖野二丁目,2176,927,272,1370,519,38.2297721,140.9118319
4103015003,宮城県仙台市若林区沖野三丁目,2193,880,307,1298,548,38.2261478,140.9113432
4103015004,宮城県仙台市若林区沖野四丁目,277,124,17,149,107,38.2234063,140.9091072
4103015005,宮城県仙台市若林区沖野五丁目,479,211,40,294,142,38.2237318,140.9110175
4103015006,宮城県仙台市若林区沖野六丁目,2717,1074,381,1483,835,38.2238255,140.9184961
4103015007,宮城県仙台市若林区沖野七丁目,2167,815,350,1250,552,38.2273643,140.9202182
4103016000,宮城県仙台市若林区表柴田町,638,362,59,422,129,38.2486122,140.8950744
